WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
Albrecht Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Albright Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alder Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alder Gulch,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Aldrich Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alexhine Gulch,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Ali Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alice Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali  Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Bob No. 2 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Creek (22-19-108),SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Creek (31-30-110),SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Creek Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Gulch,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Pete Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkali Spring No. 2,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alkalie Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
All Night Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allen No. 1 Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allen No. 1 Spring Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allen No. 2 Spring Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allen Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allen Spring No. 1,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allen Wash,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alley Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alley Springs,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allison Gulch,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allison Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Allred Springs,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alluvial flows of Little Goose Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Almquist Swale,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alpha Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alpha Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alpha Spring Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alpine Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alps Drain,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alta Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Altamont Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alter Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alto Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alton Wash,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alum Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alvie No. 1 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alvin Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Alvine Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
