BeneficialUseCategory,AllocationPrimaryUseCategory,USGSCategoryNameCV,NAICSCodeNameCV
Medicinal,"","",""
"Domestic Supply,Reservoir Supply,Reservoir Supply,Reservoir Supply,Reservoir Supply","","",""
"Hydropower,Irrigation-- Surface water","","",""
Milling,"","",""
"Erosion Control,Flood Control,Res Supply (Flow Through),Stock","","",""
"Fish Propagation,Flood Control,Res Supply (Flow Through),Industrial-- Surface water,Irrigation-- Surface water,Recreation,Stock","","",""
"Domestic-- Ground Water,Stockyard (Pig, Cow, Chicken),Stock Watering","","",""
"Municipal-- Surface water,Other,Others -- Miscellaneous,Railroad","","",""
"Reservoir Supply,Reservoir Supply,Wildlife","","",""
"Domestic-- Surface water,Irrigation-- Surface water,Manufacturing,Municipal-- Surface water,Power,Stock","","",""
"Irrigation-- Surface water,Irrigation-- Surface water,Irrigation-- Surface water","","",""
"Domestic Supply,Reservoir Supply,Reservoir Supply","","",""
"Stock & Domestic - Surface Water,Wildlife","","",""
"Irrigation-- Surface water,Other,Others -- Miscellaneous","","",""
"Manufacturing,Power","","",""
"Manufacturing,Steam","","",""
"Domestic-- Surface water,Industrial-- Surface water,Industrial-- Surface water","","",""
"Domestic-- Surface water,Municipal-- Surface water","","",""
"Flood Control,Res Supply (Flow Through),Wildlife","","",""
"Domestic-- Surface water,Domestic-- Surface water,Irrigation-- Surface water,Irrigation-- Surface water,Stock,Stock","","",""
"Domestic-- Surface water,Industrial-- Surface water,Stock","","",""
"Domestic-- Surface water,Irrigation-- Surface water,Other,Others -- Miscellaneous,Stock","","",""
"Irrigation-- Ground Water,Stockyard (Pig, Cow, Chicken),Stock Watering","","",""
"Irrigation-- Surface water,Stock","","",""
Erosion Control,"","",""
"Recreation,Wildlife","","",""
"Other,Others -- Miscellaneous,Sediment Control","","",""
"Irrigation-- Surface water,Wetlands,Wetlands","","",""
"Industrial-- Surface water,Irrigation-- Surface water,Municipal-- Surface water","","",""
"Irrigation-- Surface water,Reservoir Supply,Reservoir Supply,Reservoir Supply,Reservoir Supply","","",""
"Domestic-- Surface water,Industrial-- Surface water,Irrigation-- Surface water,Mining,Municipal-- Surface water,Power,Stock","","",""
"Fish Propagation,Municipal-- Surface water,Recreation","","",""
"Fish Propagation,Irrigation-- Surface water,Sediment Control,Stock","","",""
"Domestic-- Surface water,Industrial-- Surface water,Irrigation-- Surface water,Power,Recreation,Steam,Stock","","",""
"Industrial-- Surface water,Irrigation-- Surface water,Stock,Wildlife","","",""
"Domestic-- Surface water,Fire Protection,Fire Protection","","",""
"Reservoir Supply,Reservoir Supply,Stock & Domestic - Surface Water","","",""
"Recreation,Wetlands,Wetlands,Wildlife","","",""
"Domestic-- Surface water,Irrigation-- Surface water,Reservoir Supply,Reservoir Supply,Reservoir Supply,Reservoir Supply,Stock","","",""
"Reservoir Supply,Reservoir Supply,Reservoir Supply,Reservoir Supply","","",""
"Fire Protection,Fire Protection,Fish Propagation,Wetlands,Wetlands","","",""
"Domestic Supply,Flow Through,Reservoir Supply,Reservoir Supply","","",""
"Domestic-- Surface water,Industrial-- Surface water,Industrial-- Surface water,Municipal-- Surface water,Other,Others -- Miscellaneous,Railroad","","",""
"Fish Propagation,Industrial-- Surface water,Irrigation-- Surface water,Manufacturing,Municipal-- Surface water,Power,Recreation","","",""
"Domestic-- Surface water,Irrigation-- Surface water,Steam","","",""
"Domestic-- Surface water,Reservoir Supply,Reservoir Supply","","",""
"Domestic Supply,Irrigation-- Surface water,Stock","","",""
"Irrigation-- Surface water,Mechanical","","",""
"Fish Propagation,Flood Control,Res Supply (Flow Through),Irrigation-- Surface water,Other,Others -- Miscellaneous,Recreation,Stock","","",""
"Irrigation-- Ground Water,Miscellaneous-- Ground Water","","",""
"Domestic-- Surface water,Wildlife","","",""
"Fire Protection,Fire Protection","","",""
"Domestic-- Surface water,Industrial-- Surface water,Irrigation-- Surface water,Power,Steam","","",""
"Domestic-- Surface water,Domestic Supply,Wildlife","","",""
"Irrigation-- Ground Water,Irrigation-- Ground Water,Stockyard (Pig, Cow, Chicken),Stock Watering,Stockyard (Pig, Cow, Chicken),Stock Watering","","",""
"Domestic-- Surface water,Industrial-- Surface water,Irrigation-- Surface water","","",""
"Other,Others -- Miscellaneous,Recreation,Stock","","",""
"Ice Cutting,Railroad","","",""
"Domestic-- Surface water,Hydropower","","",""
"Fish Propagation,Recreation,Wetlands,Wetlands","","",""
Railroad,"","",""
"Irrigation-- Surface water,Sediment Control","","",""
"Domestic-- Surface water,Fish Propagation,Industrial-- Surface water,Irrigation-- Surface water,Municipal-- Surface water,Recreation,Stock,Wildlife","","",""
"Fish Propagation,Flood Control,Res Supply (Flow Through)","","",""
Manufacturing,"","",""
"Domestic Supply,Hydropower","","",""
