SiteNativeID,SiteName,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,NHDMetadataID
106626,GREAT WESTERN W 8-10135,Well,-104.709394,40.527763,,5107,GPS,0.01,99999
106627,GREAT WESTERN W 9-2871F,Well,-104.709058,40.526465,,5107,GPS,0.01,99999
106628,GABRIEL WELL 1-7255,Well,-103.608507,40.15582,,5107,GPS,0.01,99999
106629,GALAMB WELL 016485-F,Well,-104.573309,39.746884,,5107,Spotted from section lines,0.01,99999
106630,GARDETTO WELL 2010,Well,-103.94185,40.30761,,5107,Spotted from section lines,0.01,99999
106631,GARDNER BROTHERS WELL 1,Well,-104.069006,40.989254,,5107,Spotted from section lines,0.01,99999
106632,WHITTENBURG W NO 151999,Well,-103.792579,40.244229,,5107,Spotted from section lines,0.01,99999
106633,GARDNER BROTHERS WELL 3,Well,-104.068716,40.989657,,5107,Spotted from section lines,0.01,99999
106634,GARNETT WELL 20687-1,Well,-103.622741,40.362628,,5107,GPS,0.01,99999
106635,GARNETT WELL 20687-2,Well,-103.623604,40.36267,,5107,Spotted from section lines,0.01,99999
106636,GARY WELLS 1 2 3,Well,-104.648605,40.617401,,5107,GPS,0.01,99999
106637,GEARY WELL 29813,Well,-104.419737,40.838579,,5107,Spotted from section lines,0.01,99999
106639,GEHRING WELL 1-5914,Well,-104.519848,40.298011,,5107,GPS,0.01,99999
106640,GEHRING WELL 2-5915,Well,-104.522635,40.301563,,5107,GPS,0.01,99999
106641,GEIB SUMP WELL 359D,Well,-104.74354,40.646856,,5107,Spotted from section lines,0.01,99999
106642,GEIB WELL NO 1,Well,-104.743043,40.647638,,5107,Spotted from section lines,0.01,99999
106643,GEIB WELL NO 2,Well,-104.744383,40.647614,,5107,Spotted from section lines,0.01,99999
106644,GEIB WELL NO 3,Well,-104.74436,40.646042,,5107,Spotted from section lines,0.01,99999
106645,GEIB WELL NO 4,Well,-104.74436,40.644848,,5107,Spotted from section lines,0.01,99999
106646,GEIST WELL 1,Well,-103.593302,40.092067,,5107,GPS,0.01,99999
106647,GEIST WELL 2,Well,-103.593249,40.091229,,5107,GPS,0.01,99999
106648,GEIST WELL 3-2066F,Well,-103.59315,40.089768,,5107,GPS,0.01,99999
106649,GENE SMITH W A1-12395,Well,-104.674355,40.653459,,5107,Spotted from section lines,0.01,99999
106650,GENE SMITH W A2-12314-F,Well,-104.674351,40.652563,,5107,Spotted from section lines,0.01,99999
106652,GENE SMITH W B1-12313-F,Well,-104.674015,40.652431,,5107,Spotted from section lines,0.01,99999
106655,GENE SMITH W C1-12312-F,Well,-104.672986,40.649969,,5107,Spotted from section lines,0.01,99999
106668,GERKEN WELL 14617,Well,-103.774252,40.312694,,5107,GPS,0.01,99999
106669,EVERIST WELL,Well,-104.861421,40.896077,,5107,GPS,0.01,99999
106670,GIFFORD-HILL W 1-10360-F,Well,-103.859345,40.255609,,5107,GPS,0.01,99999
106671,KWUA W22-33901,Well,-104.562718,40.389756,,5107,Spotted from section lines,0.01,99999
106672,GIGGY WELL 5519-F,Well,-104.082909,40.299535,,5107,GPS,0.01,99999
106673,GILBERT WELL 1-015022F,Well,-103.513311,39.772001,,5107,GPS,0.01,99999
106674,GILL WELL 1-48832,Well,-103.393832,40.418709,,5107,Spotted from section lines,0.01,99999
106676,GILL WELL 15106,Well,-103.602806,40.299111,,5107,GPS,0.01,99999
106678,GILL WELL 26677,Well,-103.368043,40.371219,,5107,Spotted from section lines,0.01,99999
106679,GILL WELL 35960,Well,-103.407873,40.403534,,5107,Spotted from section lines,0.01,99999
106680,GILL WELL 37190,Well,-103.402378,40.403846,,5107,Spotted from section lines,0.01,99999
106682,GILL WELL 6195F,Well,-103.380913,40.396548,,5107,GPS,0.01,99999
106683,GILL WELL 6312F,Well,-103.350716,40.412372,,5107,GPS,0.01,99999
106685,GILLETTE WELL 1-6900-F,Well,-104.306946,40.987093,,5107,Spotted from section lines,0.01,99999
106686,GILLETTE WELL 2-6901-F,Well,-104.306945,40.985426,,5107,Spotted from section lines,0.01,99999
106687,GILLETTE WELL 3-2161-F,Well,-104.31144,40.984494,,5107,Spotted from section lines,0.01,99999
106688,GILNEY WELL 37158,Well,-104.45476,40.765641,,5107,Spotted from section lines,0.01,99999
106689,GINGERICH WELL 1-02938F,Well,-103.863698,40.266706,,5107,GPS,0.01,99999
106690,GINGERICH WELL 2,Well,-103.850145,40.267919,,5107,Spotted from section lines,0.01,99999
106691,GINGERICH WELL 3,Well,-103.858387,40.268524,,5107,Spotted from section lines,0.01,99999
106692,GITCHEL-PABST-WOLTA 8355,Well,-103.556292,40.305855,,5107,GPS,0.01,99999
106693,GLASSEY WELL 0004,Well,-103.753961,40.254167,,5107,Spotted from section lines,0.01,99999
106694,GLASSPOOL WELL 37132,Well,-104.539986,40.811983,,5107,Spotted from section lines,0.01,99999
106695,GLENN JUNE GROVES W 221D,Well,-104.714577,40.553438,,5107,Spotted from section lines,0.01,99999
106698,GLENN WELL 3-6255,Well,-103.792173,40.125695,,5107,GPS,0.01,99999
106700,GLENN WELL 5-6254,Well,-103.789215,40.123579,,5107,GPS,0.01,99999
106701,GLENN WELL 6,Well,-103.760947,40.082793,,5107,Spotted from section lines,0.01,99999
106702,GLENN WELL 7,Well,-103.778693,40.105018,,5107,Spotted from section lines,0.01,99999
106703,GLENN WELL 7342,Well,-103.786625,40.11348,,5107,GPS,0.01,99999
106704,GODLEY WELL 1-2620-F,Well,-104.586207,39.332368,,5107,Spotted from section lines,0.01,99999
106705,GODLEY WELL 2-3740-F,Well,-104.588423,39.328008,,5107,GPS,0.01,99999
106706,GODLEY WELL 3-5165,Well,-104.580978,39.330772,,5107,Spotted from section lines,0.01,99999
106707,GODLEY WELL 4,Well,-104.588933,39.330999,,5107,Spotted from section lines,0.01,99999
106708,GODLEY WELL 5,Well,-104.586607,39.327064,,5107,GPS,0.01,99999
106709,GODLEY WELL 6,Well,-104.588585,39.329489,,5107,Spotted from section lines,0.01,99999
106710,GODLEY WELL 7,Well,-104.601542,39.321365,,5107,Spotted from section lines,0.01,99999
106711,GODLEY WELL 8,Well,-104.600683,39.336217,,5107,Spotted from section lines,0.01,99999
106712,GODLEY WELL 9,Well,-104.590736,39.333267,,5107,Spotted from section lines,0.01,99999
106713,GOEDERT WELL 1,Well,-103.788082,40.300074,,5107,GPS,0.01,99999
106714,GOEDERT WELL 2-22454F,Well,-103.788731,40.298,,5107,GPS,0.01,99999
106715,GOMEZ WELL 1-12966,Well,-104.667283,40.632035,,5107,Spotted from section lines,0.01,99999
106716,GOMEZ WELL 2-12967,Well,-104.666519,40.632213,,5107,Spotted from section lines,0.01,99999
106717,GOMEZ WELL 3-12968,Well,-104.6676,40.631298,,5107,Spotted from section lines,0.01,99999
106718,GOMEZ WELL 4-12969,Well,-104.66698,40.632224,,5107,Spotted from section lines,0.01,99999
106719,GOOD WELL 1-10467-F,Well,-103.955583,40.294311,,5107,GPS,0.01,99999
106720,GOOD WELL 2-6764-F,Well,-103.947348,40.294237,,5107,GPS,0.01,99999
106721,GOOD WELL 3-10468-F,Well,-103.965852,40.29371,,5107,GPS,0.01,99999
106722,GOULD WELL 1-7528,Well,-103.838071,40.268808,,5107,Spotted from section lines,0.01,99999
106723,GOULD WELL 2-3676,Well,-103.836045,40.269896,,5107,Spotted from section lines,0.01,99999
106724,GRACIK WELL 1-4516,Well,-104.290203,40.871784,,5107,Spotted from section lines,0.01,99999
106725,GRACIK WELL 4,Well,-104.289682,40.835401,,5107,Spotted from section lines,0.01,99999
106726,GRACIK WELL 4517,Well,-104.289297,40.871774,,5107,Spotted from section lines,0.01,99999
106727,GRACIK WELL 5,Well,-104.298213,40.897052,,5107,Spotted from section lines,0.01,99999
106728,GRACIK WELL 8740,Well,-104.287347,40.863911,,5107,Spotted from section lines,0.01,99999
106732,GRAHAM WELL 2,Well,-104.658019,40.591509,,5107,Spotted from section lines,0.01,99999
106733,GRANIERI WELL 8225,Well,-104.573873,40.399964,,5107,GPS,0.01,99999
106734,GRASSY WELL 11379,Well,-104.03493,40.955671,,5107,Spotted from section lines,0.01,99999
106735,GRAUEL WELL,Well,-103.571956,40.339974,,5107,Spotted from quarters,0.01,99999
106736,GRAVES WELL 1-25333,Well,-104.52447,39.625876,,5107,Spotted from section lines,0.01,99999
106737,BALAND NORTH WELL,Well,-104.893135,40.959427,,5107,Spotted from section lines,0.01,99999
106738,HIER LDA WELL,Well,-104.589609,39.316381,,5107,Spotted from section lines,0.01,99999
106739,GREAT WESTERN SEC 32 W,Well,-104.695923,40.451616,,5107,Spotted from section lines,0.01,99999
106740,GREELEY MEAT WELL 2368-F,Well,-104.66915,40.426006,,5107,GPS,0.01,99999
106741,GREELEY WELL 1,Well,-104.58785,40.442267,,5107,GPS,0.01,99999
106742,GREEN BROS WELL 1,Well,-103.783344,40.254173,,5107,Spotted from section lines,0.01,99999
106743,GREEN BROS WELL 2,Well,-103.783914,40.255445,,5107,Spotted from section lines,0.01,99999
106744,GREEN BROS WELL 3-30992,Well,-103.783199,40.254271,,5107,Spotted from section lines,0.01,99999
106745,GREEN SUMP,Well,-104.649017,40.56082,,5107,Spotted from section lines,0.01,99999
106746,GREEN WELL 1,Well,-103.903982,40.294451,,5107,Spotted from section lines,0.01,99999
106748,GREENEMEIER WELL 1,Well,-104.591706,39.940899,,5107,Spotted from section lines,0.01,99999
106749,GREENEMEIER WELL 1-46870,Well,-104.620562,39.547402,,5107,Spotted from section lines,0.01,99999
106750,GREENEMEIER WELL 2-46869,Well,-104.623052,39.544914,,5107,Spotted from section lines,0.01,99999
106751,GRESHAM WELL 1,Well,-104.572213,39.212545,,5107,Spotted from section lines,0.01,99999
106752,GRIGG WELL 1-7324,Well,-103.679109,40.247764,,5107,GPS,0.01,99999
106753,GRIGG WELL 2-7191,Well,-103.631173,40.291018,,5107,GPS,0.01,99999
106754,GRIGSBY BROS WELL 03065F,Well,-103.393152,40.428888,,5107,GPS,0.01,99999
106755,GRIGSBY BROS WELL 1-7248,Well,-103.381006,40.429016,,5107,GPS,0.01,99999
106756,GROOMS WELL 2346-F,Well,-103.778035,40.290861,,5107,GPS,0.01,99999
106757,GROVER WELL 1,Well,-104.221559,40.8664,,5107,Spotted from section lines,0.01,99999
106758,GROVER WELL 2,Well,-104.221817,40.866267,,5107,Spotted from section lines,0.01,99999
106759,GROVER WELL 3-11174F,Well,-104.224736,40.869575,,5107,Spotted from section lines,0.01,99999
106760,GROVES DILLARD WELL 1547,Well,-104.707837,40.530165,,5107,GPS,0.01,99999
106761,GROVES PUMPING PLANT W 1,Well,-104.707329,40.530253,,5107,GPS,0.01,99999
106762,GROVES PUMPING PLANT W 2,Well,-104.707269,40.530514,,5107,GPS,0.01,99999
106763,GROVES PUMPING PLANT W 3,Well,-104.707072,40.530406,,5107,Spotted from section lines,0.01,99999
106765,GROVES WELL 1-10372,Well,-104.148913,40.334761,,5107,GPS,0.01,99999
106766,GROVES WELL 1-67601,Well,-103.98025,40.242966,,5107,Spotted from section lines,0.01,99999
106768,GROVES WELL 2-31694,Well,-104.112611,40.334362,,5107,GPS,0.01,99999
106769,GROVES WELL 3-55602-F,Well,-104.145954,40.345867,,5107,Spotted from section lines,0.01,99999
106770,GUNN WELL 37111,Well,-104.605588,40.773737,,5107,Spotted from section lines,0.01,99999
106771,GUNSIGHT WELL 37160,Well,-104.10936,40.724013,,5107,Spotted from section lines,0.01,99999
