RegulatoryName,ReportingUnitName,"OrganizationID	",DataPublicationDate
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - Los Pinos/Pine Rivers,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Los Pinos/Pine Rivers,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - Los Pinos/Pine Rivers,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - McElmo Creek,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - McElmo Creek,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - McElmo Creek,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - McElmo Creek,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - McElmo Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - McElmo Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - La Plata River,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - La Plata River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - La Plata River,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - La Plata River,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - La Plata River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - La Plata River,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - Mancos River,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - Mancos River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - Mancos River,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - Mancos River,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Mancos River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - Mancos River,CODWR,4/25/2019
RIO GRANDE RIVER COMPACT,Rio Grande - Trinchera Creek,CODWR,4/25/2019
COSTILLA CREEK COMPACT,Rio Grande - Trinchera Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Rio Grande - Trinchera Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Blue River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Blue River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Blue River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Blue River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Eagle River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Eagle River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Eagle River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Eagle River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Roaring Fork River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Roaring Fork River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Roaring Fork River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Roaring Fork River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Rifle/Elk/Parachute Creek,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Rifle/Elk/Parachute Creek,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Rifle/Elk/Parachute Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Rifle/Elk/Parachute Creek,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - Big Thompson River,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - Big Thompson River,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Big Thompson River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - North Fork Tribs,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - North Fork Tribs,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - North Fork Tribs,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - North Fork Tribs,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - North Fork Tribs,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - Lower Uncompahgre River,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - Lower Uncompahgre River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - Lower Uncompahgre River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - Lower Uncompahgre River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - Lower Uncompahgre River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - Lower Gunnison River,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - Lower Gunnison River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - Lower Gunnison River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - Lower Gunnison River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - Lower Gunnison River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Yampa - White River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Yampa - White River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Yampa - White River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Yampa - White River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Yampa - Lower Yampa River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Yampa - Lower Yampa River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Yampa - Lower Yampa River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Yampa - Lower Yampa River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Divide Creek,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Divide Creek,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Divide Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Divide Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - Navajo Reservoir/Sambrito Creek,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - Navajo Reservoir/Sambrito Creek,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - Navajo Reservoir/Sambrito Creek,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - Navajo Reservoir/Sambrito Creek,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Navajo Reservoir/Sambrito Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - Navajo Reservoir/Sambrito Creek,CODWR,4/25/2019
NEBRASKA VS. WYOMING,Yampa - North Platte River,CODWR,4/25/2019
WYOMING VS. COLORADO,Yampa - North Platte River,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Yampa - North Platte River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Yampa - North Platte River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Yampa - North Platte River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Yampa - North Platte River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Yampa - North Platte River,CODWR,4/25/2019
NEBRASKA VS. WYOMING,South Platte - Laramie River,CODWR,4/25/2019
WYOMING VS. COLORADO,South Platte - Laramie River,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Laramie River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - Laramie River,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - Laramie River,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Laramie River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - Republican River,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - Republican River,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Republican River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - St. Vrain Creek,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - St. Vrain Creek,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - St. Vrain Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Muddy/Troublesome Creeks,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Muddy/Troublesome Creeks,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Muddy/Troublesome Creeks,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Muddy/Troublesome Creeks,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Upper Colorado/Fraser Rivers,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Upper Colorado/Fraser Rivers,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Upper Colorado/Fraser Rivers,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Upper Colorado/Fraser Rivers,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Piney/Cottonweed Creeks,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Piney/Cottonweed Creeks,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Piney/Cottonweed Creeks,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Piney/Cottonweed Creeks,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Tribs North of Colorado River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Tribs North of Colorado River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Tribs North of Colorado River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Tribs North of Colorado River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Yampa - Slater/Timberlake Creeks,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Yampa - Slater/Timberlake Creeks,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Yampa - Slater/Timberlake Creeks,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Yampa - Slater/Timberlake Creeks,CODWR,4/25/2019
COLORADO RIVER COMPACT,Yampa - Little Snake River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Yampa - Little Snake River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Yampa - Little Snake River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Yampa - Little Snake River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Yampa - Green River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Yampa - Green River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Yampa - Green River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Yampa - Green River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Yampa - Middle Yampa River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Yampa - Middle Yampa River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Yampa - Middle Yampa River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Yampa - Middle Yampa River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Yampa - Upper Yampa River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Yampa - Upper Yampa River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Yampa - Upper Yampa River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Yampa - Upper Yampa River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - East River,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - East River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - East River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - East River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - East River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - Boulder Creek,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - Boulder Creek,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Boulder Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - San Miguel River,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - San Miguel River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - San Miguel River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - San Miguel River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - San Miguel River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - Paradox Creek,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - Paradox Creek,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - Paradox Creek,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - Paradox Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - Paradox Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - Upper Gunnison River,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - Upper Gunnison River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - Upper Gunnison River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - Upper Gunnison River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - Upper Gunnison River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - Dolores River,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - Dolores River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - Dolores River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - Dolores River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - Dolores River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - South Platte - Balzac to Stateline,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - South Platte - Balzac to Stateline,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - South Platte - Balzac to Stateline,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Cimarron River,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Cimarron River,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Arkansas - Las Animas to Stateline,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Arkansas - Las Animas to Stateline,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - Upper Uncompahgre River,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - Upper Uncompahgre River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - Upper Uncompahgre River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - Upper Uncompahgre River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - Upper Uncompahgre River,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - Disappointment Creek,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - Disappointment Creek,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - Disappointment Creek,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - Disappointment Creek,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Disappointment Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - Disappointment Creek,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - Clear Creek,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - Clear Creek,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Clear Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Roan Creek,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Roan Creek,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Roan Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Roan Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - Dolores River,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - Dolores River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - Dolores River,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - Dolores River,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Dolores River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - Dolores River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Colorado - Lower Colorado River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Colorado - Lower Colorado River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Colorado - Lower Colorado River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Colorado - Lower Colorado River,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - Little Dolores River,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - Little Dolores River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - Little Dolores River,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - Little Dolores River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - Little Dolores River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - Sand Creek,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - Sand Creek,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Sand Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - Navajo River,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - Navajo River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - Navajo River,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - Navajo River,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Navajo River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - Navajo River,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - Piedra River,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - Piedra River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - Piedra River,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - Piedra River,CODWR,4/25/2019
