RegulatoryName,ReportingUnitName,"OrganizationID	",DataPublicationDate
SOUTH PLATTE RIVER COMPACT,South Platte - South Platte - Greeley to Balzac,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - South Platte - Greeley to Balzac,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - South Platte - Greeley to Balzac,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Fountain Creek,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Fountain Creek,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Arkansas - Headwaters to Salida,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Arkansas - Headwaters to Salida,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Arkansas - Salida to Portland,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Arkansas - Salida to Portland,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Wet Mountain Valley,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Wet Mountain Valley,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Arkansas - Portland to Fowler,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Arkansas - Portland to Fowler,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Saint Charles,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Saint Charles,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Cucharas River,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Cucharas River,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Arkansas - Fowler to Las Animas,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Arkansas - Fowler to Las Animas,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Apishapa River,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Apishapa River,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Purgatoire River,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Purgatoire River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - South Platte - Denver Gage to Greeley,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - South Platte - Denver Gage to Greeley,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - South Platte - Denver Gage to Greeley,CODWR,4/25/2019
RIO GRANDE RIVER COMPACT,Rio Grande - Rio Grande,CODWR,4/25/2019
COSTILLA CREEK COMPACT,Rio Grande - Rio Grande,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Rio Grande - Rio Grande,CODWR,4/25/2019
RIO GRANDE RIVER COMPACT,Rio Grande - Alamosa La Jara,CODWR,4/25/2019
COSTILLA CREEK COMPACT,Rio Grande - Alamosa La Jara,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Rio Grande - Alamosa La Jara,CODWR,4/25/2019
RIO GRANDE RIVER COMPACT,Rio Grande - Conejos River,CODWR,4/25/2019
COSTILLA CREEK COMPACT,Rio Grande - Conejos River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Rio Grande - Conejos River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - Upper South Platte,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - Upper South Platte,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Upper South Platte,CODWR,4/25/2019
RIO GRANDE RIVER COMPACT,Rio Grande - Culebra Creek,CODWR,4/25/2019
COSTILLA CREEK COMPACT,Rio Grande - Culebra Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Rio Grande - Culebra Creek,CODWR,4/25/2019
RIO GRANDE RIVER COMPACT,Rio Grande - San Luis Creek,CODWR,4/25/2019
COSTILLA CREEK COMPACT,Rio Grande - San Luis Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Rio Grande - San Luis Creek,CODWR,4/25/2019
RIO GRANDE RIVER COMPACT,Rio Grande - Saguache Creek,CODWR,4/25/2019
COSTILLA CREEK COMPACT,Rio Grande - Saguache Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Rio Grande - Saguache Creek,CODWR,4/25/2019
RIO GRANDE RIVER COMPACT,Rio Grande - Canero Creek,CODWR,4/25/2019
COSTILLA CREEK COMPACT,Rio Grande - Canero Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Rio Grande - Canero Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,Gunnison - Tomichi Creek,CODWR,4/25/2019
ASPINALL UNIT OPERATIONS,Gunnison - Tomichi Creek,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,Gunnison - Tomichi Creek,CODWR,4/25/2019
UCR ENDANGERED FISH RECOVERY PROGRAM,Gunnison - Tomichi Creek,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",Gunnison - Tomichi Creek,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - San Juan River,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - San Juan River,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - San Juan River,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - San Juan River,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - San Juan River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - San Juan River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - Cache La Poudre River,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - Cache La Poudre River,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - Cache La Poudre River,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - Animas/Florida Rivers,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - Animas/Florida Rivers,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - Animas/Florida Rivers,CODWR,4/25/2019
ANIMAS-LA PLATA PROJECT COMPACT,San Juan/Dolores - Animas/Florida Rivers,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Animas/Florida Rivers,CODWR,4/25/2019
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Animas/Florida Rivers,CODWR,4/25/2019
COLORADO RIVER COMPACT,San Juan/Dolores - Los Pinos/Pine Rivers,CODWR,4/25/2019
LA PLATA RIVER COMPACT,San Juan/Dolores - Los Pinos/Pine Rivers,CODWR,4/25/2019
UPPER COLORADO RIVER COMPACT,San Juan/Dolores - Los Pinos/Pine Rivers,CODWR,4/25/2019
