ReportingUnitNativeID,ReportingUnitName,ReportingUnitTypeCV,ReportingUnitUpdateDate,ReportingUnitProductVersion,StateCV,EPSGCodeCV,Geometry
313,San Juan/Dolores - Disappointment Creek,SEO WATER DISTRICTS,,,CO,EPSG:4326,
314,Colorado - Roan Creek,SEO WATER DISTRICTS,,,CO,EPSG:4326,
315,San Juan/Dolores - Dolores River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
316,Colorado - Lower Colorado River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
317,Gunnison - Little Dolores River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
318,South Platte - Sand Creek,SEO WATER DISTRICTS,,,CO,EPSG:4326,
319,San Juan/Dolores - Navajo River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
320,San Juan/Dolores - Piedra River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
321,Arkansas - Huerfano River,SEO WATER DISTRICTS,,,CO,EPSG:4326,
322,South Platte - North Fork of South Platte,SEO WATER DISTRICTS,,,CO,EPSG:4326,
