BridgeID,RegulatoryOverlayID,OrganizationID,ReportingUnitID,ReportYearCV,DataPublicationDate
153,9,2,291,2010,2/14/2019
154,17,2,291,2010,2/14/2019
155,12,2,291,2010,2/14/2019
156,16,2,291,2010,2/14/2019
157,18,2,292,2010,2/14/2019
158,19,2,292,2010,2/14/2019
159,3,2,292,2010,2/14/2019
160,1,2,292,2010,2/14/2019
161,2,2,292,2010,2/14/2019
162,3,2,292,2010,2/14/2019
163,1,2,293,2010,2/14/2019
164,2,2,293,2010,2/14/2019
165,3,2,293,2010,2/14/2019
166,1,2,249,2010,2/14/2019
167,2,2,249,2010,2/14/2019
168,3,2,249,2010,2/14/2019
169,9,2,294,2010,2/14/2019
170,11,2,294,2010,2/14/2019
171,12,2,294,2010,2/14/2019
172,16,2,294,2010,2/14/2019
173,9,2,295,2010,2/14/2019
174,11,2,295,2010,2/14/2019
175,12,2,295,2010,2/14/2019
176,16,2,295,2010,2/14/2019
177,9,2,296,2010,2/14/2019
178,11,2,296,2010,2/14/2019
179,12,2,296,2010,2/14/2019
180,16,2,296,2010,2/14/2019
181,9,2,297,2010,2/14/2019
182,11,2,297,2010,2/14/2019
183,12,2,297,2010,2/14/2019
184,16,2,297,2010,2/14/2019
185,9,2,298,2010,2/14/2019
186,17,2,298,2010,2/14/2019
187,12,2,298,2010,2/14/2019
188,16,2,298,2010,2/14/2019
189,9,2,299,2010,2/14/2019
190,17,2,299,2010,2/14/2019
191,12,2,299,2010,2/14/2019
192,16,2,299,2010,2/14/2019
193,9,2,300,2010,2/14/2019
194,17,2,300,2010,2/14/2019
195,12,2,300,2010,2/14/2019
196,16,2,300,2010,2/14/2019
197,9,2,301,2010,2/14/2019
198,17,2,301,2010,2/14/2019
199,12,2,301,2010,2/14/2019
200,16,2,301,2010,2/14/2019
201,9,2,302,2010,2/14/2019
202,17,2,302,2010,2/14/2019
203,12,2,302,2010,2/14/2019
204,16,2,302,2010,2/14/2019
205,9,2,303,2010,2/14/2019
206,10,2,303,2010,2/14/2019
207,11,2,303,2010,2/14/2019
208,12,2,303,2010,2/14/2019
209,16,2,303,2010,2/14/2019
210,1,2,250,2010,2/14/2019
211,2,2,250,2010,2/14/2019
212,3,2,250,2010,2/14/2019
213,9,2,304,2010,2/14/2019
214,10,2,304,2010,2/14/2019
215,11,2,304,2010,2/14/2019
216,12,2,304,2010,2/14/2019
217,16,2,304,2010,2/14/2019
218,9,2,305,2010,2/14/2019
219,10,2,305,2010,2/14/2019
220,11,2,305,2010,2/14/2019
221,12,2,305,2010,2/14/2019
222,16,2,305,2010,2/14/2019
223,9,2,306,2010,2/14/2019
224,10,2,306,2010,2/14/2019
225,11,2,306,2010,2/14/2019
226,12,2,306,2010,2/14/2019
227,16,2,306,2010,2/14/2019
228,9,2,307,2010,2/14/2019
229,10,2,307,2010,2/14/2019
230,11,2,307,2010,2/14/2019
231,12,2,307,2010,2/14/2019
232,16,2,307,2010,2/14/2019
233,1,2,308,2010,2/14/2019
234,2,2,308,2010,2/14/2019
235,3,2,308,2010,2/14/2019
236,4,2,310,2010,2/14/2019
237,5,2,310,2010,2/14/2019
238,4,2,311,2010,2/14/2019
239,5,2,311,2010,2/14/2019
240,9,2,312,2010,2/14/2019
241,10,2,312,2010,2/14/2019
242,11,2,312,2010,2/14/2019
243,12,2,312,2010,2/14/2019
244,16,2,312,2010,2/14/2019
245,9,2,313,2010,2/14/2019
246,13,2,313,2010,2/14/2019
247,11,2,313,2010,2/14/2019
248,14,2,313,2010,2/14/2019
249,15,2,313,2010,2/14/2019
250,16,2,313,2010,2/14/2019
251,1,2,251,2010,2/14/2019
252,2,2,251,2010,2/14/2019
253,3,2,251,2010,2/14/2019
254,9,2,314,2010,2/14/2019
255,11,2,314,2010,2/14/2019
256,12,2,314,2010,2/14/2019
257,16,2,314,2010,2/14/2019
258,9,2,315,2010,2/14/2019
259,13,2,315,2010,2/14/2019
260,11,2,315,2010,2/14/2019
261,14,2,315,2010,2/14/2019
262,15,2,315,2010,2/14/2019
263,16,2,315,2010,2/14/2019
264,9,2,316,2010,2/14/2019
265,11,2,316,2010,2/14/2019
266,12,2,316,2010,2/14/2019
267,16,2,316,2010,2/14/2019
268,9,2,317,2010,2/14/2019
269,10,2,317,2010,2/14/2019
270,11,2,317,2010,2/14/2019
271,12,2,317,2010,2/14/2019
272,16,2,317,2010,2/14/2019
273,1,2,318,2010,2/14/2019
274,2,2,318,2010,2/14/2019
275,3,2,318,2010,2/14/2019
276,9,2,319,2010,2/14/2019
277,13,2,319,2010,2/14/2019
278,11,2,319,2010,2/14/2019
279,14,2,319,2010,2/14/2019
280,15,2,319,2010,2/14/2019
281,16,2,319,2010,2/14/2019
282,9,2,320,2010,2/14/2019
283,13,2,320,2010,2/14/2019
284,11,2,320,2010,2/14/2019
285,14,2,320,2010,2/14/2019
286,15,2,320,2010,2/14/2019
287,16,2,320,2010,2/14/2019
288,4,2,321,2010,2/14/2019
289,5,2,321,2010,2/14/2019
290,1,2,252,2010,2/14/2019
291,2,2,252,2010,2/14/2019
292,3,2,252,2010,2/14/2019
293,1,2,322,2010,2/14/2019
294,2,2,322,2010,2/14/2019
295,3,2,322,2010,2/14/2019
