BeneficialUseCategory,AllocationPrimaryUseCategory,USGSCategoryNameCV,NAICSCodeNameCV
"Storage, Irrigation, Recreation, Fishery, Fire, Domestic, Stock, Augmentation, Wildlife","","",""
"Fishery, Stock, Recharge, Wildlife","","",""
"Irrigation, Municipal, Recreation, Fishery, Augmentation, Wildlife","","",""
"Storage, Irrigation, Industrial, Augmentation","","",""
"Irrigation, Municipal, Commercial, Recreation, Fire, Domestic, Stock, Other, Recharge","","",""
"Irrigation, Industrial, Fire, Domestic, Augmentation","","",""
"Irrigation, Industrial, Stock","","",""
"Irrigation, Industrial, Fishery, Domestic, Stock","","",""
"Irrigation, Recreation, Fishery, Fire, Domestic, Wildlife","","",""
"Irrigation, Commercial, Recreation, Fishery, Domestic, Wildlife","","",""
"Storage, Municipal, Domestic","","",""
"Recreation, Fishery, Federal Reserved, Other","","",""
"Irrigation, Domestic, Stock, Augmentation","","",""
"Municipal, Industrial, Augmentation","","",""
"Storage, Irrigation, Fishery, Domestic, Stock, Power, Other","","",""
"Irrigation, Municipal, Industrial, Fishery, Augmentation, Snowmaking, Wildlife","","",""
"Commercial, Domestic, Stock","","",""
"Irrigation, Commercial, Recreation, Fishery, Fire, Stock, Augmentation, Other","","",""
"Industrial, Other","","",""
"Irrigation, Industrial, Domestic, Augmentation, Power, Other","","",""
"Storage, Irrigation, Municipal, Commercial, Recreation, Fishery, Domestic","","",""
"Irrigation, Recreation, Domestic, Augmentation","","",""
"Irrigation, Recreation, Other, Wildlife","","",""
"Irrigation, Municipal, Fire, Domestic, Stock, Household Use Only","","",""
"Irrigation, Municipal, Commercial, Recreation, Fishery, Fire, Domestic, Stock, Other","","",""
"Commercial, Stock, Household Use Only","","",""
"Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Wildlife","","",""
"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic","","",""
"Municipal, Domestic, Power","","",""
"Irrigation, Industrial, Recreation, Fishery, Fire, Stock, Wildlife","","",""
"Fire, Augmentation, Other","","",""
"Irrigation, Industrial","","",""
"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Wildlife","","",""
"Municipal, Commercial, Recreation, Fishery, Augmentation, Wildlife","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Stock, Augmentation, Wildlife","","",""
"Irrigation, Recreation, Wildlife","","",""
"Irrigation, Commercial, Industrial, Recreation, Fishery, Domestic, Stock","","",""
"Commercial, Industrial, Recreation, Geothermal","","",""
"Storage, Irrigation, Commercial, Fishery, Fire, Domestic, Augmentation, Other, Wildlife","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Augmentation, Power","","",""
"Industrial, Fishery, Domestic","","",""
"Irrigation, Recreation, Fishery, Augmentation, Wildlife","","",""
"Storage, Irrigation, Recreation, Fishery, Fire, Domestic, Stock, Other, Wildlife","","",""
"Irrigation, Commercial, Recreation, Fishery, Fire, Augmentation, Other","","",""
"Irrigation, Commercial, Industrial, Recreation, Domestic, Stock, Augmentation","","",""
"Industrial, Fire, Stock","","",""
"Irrigation, Municipal, Industrial, Recreation, Augmentation, Minimum Streamflow, Power","","",""
"Fishery, Domestic, Stock, Augmentation","","",""
"Domestic, Stock, Other","","",""
"Municipal, Fire, Augmentation","","",""
"Municipal, Industrial, Recreation, Domestic, Snowmaking","","",""
"Irrigation, Municipal, Recreation, Fire, Domestic, All Beneficial Uses","","",""
"","","",""
"Irrigation, Domestic, Stock, Evaporative","","",""
"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Cumulative Accretion to River","","",""
"Irrigation, Fishery, Fire, Federal Reserved, Wildlife","","",""
"Storage, Commercial, Industrial, Recreation, Fishery, Fire, Stock, Wildlife","","",""
"Commercial, Geothermal","","",""
"Domestic, All Beneficial Uses","","",""
Irrigation,"","",""
"Industrial, Recreation, Fishery, Domestic","","",""
"Irrigation, Industrial, Fire, Domestic, Stock, Wildlife","","",""
"Irrigation, Recreation, Fire, Domestic","","",""
"Irrigation, Commercial, Other","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Augmentation, Cumulative Accretion to River","","",""
"Irrigation, Industrial, Recreation, Fishery, Domestic, Power","","",""
"Storage, Irrigation, Industrial, Fire, Domestic, Power, All Beneficial Uses","","",""
"Irrigation, Municipal, Commercial, Industrial, Domestic","","",""
"Irrigation, Commercial, Domestic, Stock, Wildlife","","",""
"Irrigation, Municipal, Recreation, Fire, Domestic","","",""
"Irrigation, Fire, Stock, Household Use Only","","",""
