WaterSourceID,WaterSourceUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,Geometry,GNISFeatureNameCV
942,La Manga Creek-CODWR,A1038,La Manga Creek,Uknown,Fresh,,
943,La Plata Gulch-CODWR,A1039,La Plata Gulch,Uknown,Fresh,,
944,La Plata River-CODWR,A1040,La Plata River,Uknown,Fresh,,
945,La Poudre Pass Creek-CODWR,A1041,La Poudre Pass Creek,Uknown,Fresh,,
946,La Sal Creek-CODWR,A1042,La Sal Creek,Uknown,Fresh,,
947,Ladder Creek-CODWR,A1043,Ladder Creek,Uknown,Fresh,,
948,Lake Creek-CODWR,A1044,Lake Creek,Uknown,Fresh,,
949,Lake Fork-CODWR,A1045,Lake Fork,Uknown,Fresh,,
950,Lake Fork Creek-CODWR,A1046,Lake Fork Creek,Uknown,Fresh,,
951,Lake Fork Stream-CODWR,A1047,Lake Fork Stream,Uknown,Fresh,,
952,Lakewood Gulch-CODWR,A1048,Lakewood Gulch,Uknown,Fresh,,
953,Lamping Creek-CODWR,A1049,Lamping Creek,Uknown,Fresh,,
954,Landis Creek-CODWR,A1050,Landis Creek,Uknown,Fresh,,
955,Landsman Creek-CODWR,A1051,Landsman Creek,Uknown,Fresh,,
956,Langhoff Creek-CODWR,A1052,Langhoff Creek,Uknown,Fresh,,
957,Lans Gulch-CODWR,A1053,Lans Gulch,Uknown,Fresh,,
958,LARAMIE-CODWR,A1054,LARAMIE,Uknown,Fresh,,
959,LARAMIE FOX HILLS-CODWR,A1055,LARAMIE FOX HILLS,Uknown,Fresh,,
960,Laramie River-CODWR,A1056,Laramie River,Uknown,Fresh,,
961,Larson Creek-CODWR,A1057,Larson Creek,Uknown,Fresh,,
962,Last Resort Creek-CODWR,A1058,Last Resort Creek,Uknown,Fresh,,
963,Lawrence Creek-CODWR,A1059,Lawrence Creek,Uknown,Fresh,,
964,Lawson Creek-CODWR,A1060,Lawson Creek,Uknown,Fresh,,
965,Lay Creek-CODWR,A1061,Lay Creek,Uknown,Fresh,,
966,Le Bow Creek-CODWR,A1062,Le Bow Creek,Uknown,Fresh,,
967,Leavenworth Creek-CODWR,A1063,Leavenworth Creek,Uknown,Fresh,,
968,Left Hand Creek-CODWR,A1064,Left Hand Creek,Uknown,Fresh,,
969,Leitensdorfer Arroyo-CODWR,A1065,Leitensdorfer Arroyo,Uknown,Fresh,,
970,Leland Creek-CODWR,A1066,Leland Creek,Uknown,Fresh,,
971,Lena Gulch-CODWR,A1067,Lena Gulch,Uknown,Fresh,,
972,Leon Creek-CODWR,A1068,Leon Creek,Uknown,Fresh,,
973,Leopard Creek-CODWR,A1069,Leopard Creek,Uknown,Fresh,,
974,Leroux Creek-CODWR,A1070,Leroux Creek,Uknown,Fresh,,
975,Lester Creek-CODWR,A1071,Lester Creek,Uknown,Fresh,,
976,Leuck Draw-CODWR,A1072,Leuck Draw,Uknown,Fresh,,
977,Levere Ditch-CODWR,A1073,Levere Ditch,Uknown,Fresh,,
978,Lewis Creek-CODWR,A1074,Lewis Creek,Uknown,Fresh,,
979,Lewstone Creek-CODWR,A1075,Lewstone Creek,Uknown,Fresh,,
980,Leyden Creek-CODWR,A1076,Leyden Creek,Uknown,Fresh,,
981,Lick Creek-CODWR,A1077,Lick Creek,Uknown,Fresh,,
982,Lightner Creek-CODWR,A1078,Lightner Creek,Uknown,Fresh,,
983,Lime Creek-CODWR,A1079,Lime Creek,Uknown,Fresh,,
984,Limekiln Gulch-CODWR,A1080,Limekiln Gulch,Uknown,Fresh,,
985,Limestone Creek-CODWR,A1081,Limestone Creek,Uknown,Fresh,,
986,Limestone Draw-CODWR,A1082,Limestone Draw,Uknown,Fresh,,
987,Lincoln Creek-CODWR,A1083,Lincoln Creek,Uknown,Fresh,,
988,Lindsey Creek-CODWR,A1084,Lindsey Creek,Uknown,Fresh,,
989,Line Canyon-CODWR,A1085,Line Canyon,Uknown,Fresh,,
990,Line Creek-CODWR,A1086,Line Creek,Uknown,Fresh,,
991,Link Creek-CODWR,A1087,Link Creek,Uknown,Fresh,,
992,Lion Creek-CODWR,A1088,Lion Creek,Uknown,Fresh,,
993,Little Alkali Creek-CODWR,A1089,Little Alkali Creek,Uknown,Fresh,,
994,Little Bear Creek-CODWR,A1090,Little Bear Creek,Uknown,Fresh,,
995,Little Beaver Creek-CODWR,A1091,Little Beaver Creek,Uknown,Fresh,,
996,Little Blacktail Creek-CODWR,A1092,Little Blacktail Creek,Uknown,Fresh,,
997,Little Blue Creek-CODWR,A1093,Little Blue Creek,Uknown,Fresh,,
998,Little Browns Creek-CODWR,A1094,Little Browns Creek,Uknown,Fresh,,
999,Little Buffalo Creek-CODWR,A1095,Little Buffalo Creek,Uknown,Fresh,,
